Founded Date,Founded Date Precision,Organization Name,Organization Name URL,Categories,Description,Headquarters Location,Headquarters Regions,Operating Status,Hub Tags,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Acquisitions,Acquisition Status
2017-03-01,day,BeamUp Payments S.A.,https://www.crunchbase.com/organization/beamup-payments-s-a,"Big Data, Credit Cards, Debit Cards, E-Commerce, Financial Services, FinTech, Machine Learning, Mobile Apps, Mobile Payments, Payments",BeamUp Payments S.A. is a Fintech startup. We deliver innovative B2C mobile payment solutions.,"Warsaw, Mazowieckie, Poland",European Union (EU),Active,,,,,,,,,,,,,
2013-12-18,day,Cofame,https://www.crunchbase.com/organization/cofame,"Artificial Intelligence, Contact Management, Identity Management",Conversational bot to get to know about perople around you.,"Osaka, Osaka, Japan",Asia-Pacific (APAC),Active,,2,Seed,2016-09-08,,,,Seed,,,,,
2018-05-16,day,DGFOM,https://www.crunchbase.com/organization/dgfom,"Artificial Intelligence, Asset Management, Building Maintenance, Facilities Support Services, Facility Management, Internet of Things, Smart Building, Smart Cities, Smart Home",Uber for homeowners #DGFOM,,,Active,,,,,,,,,,,,,
2012-10-17,day,Houseprice.AI,https://www.crunchbase.com/organization/houseprice-ai,"Artificial Intelligence, FinTech, Information Technology, Machine Learning, Real Estate",We use our ground breaking AI Machine Valuation Model to swiftly obtain the most astonishingly accurate property valuations for our clients.,"London, England, United Kingdom",European Union (EU),Active,,,,,,,,,,,,,
2017-01-20,day,Accrumental Inc.,https://www.crunchbase.com/organization/accrumental-inc,"Artificial Intelligence, Big Data, Financial Services, FinTech",Accrumental is a AI Company that increases CLTV for banks while rewarding Customers' Financial Wellnes,"Chicago, Illinois, United States","Greater Chicago Area, Great Lakes, Midwestern US",Active,,1,,2017-06-30,,,,Convertible Note,,,,,
2014-04-10,day,Assetlogue,https://www.crunchbase.com/organization/assetlogue,"Asset Management, Augmented Reality, Environmental Consulting, Predictive Analytics, SaaS",Asset management SaaS supporting Environmental & Waste Management assets with Machine Learning & Augmented Reality applied capabilities.,"Burleigh Heads, Queensland, Australia","Asia-Pacific (APAC), Australasia",Active,,,,,,,,,,,,,
2015-01-01,year,Cardabel,https://www.crunchbase.com/organization/cardabel,"Fraud Detection, Machine Learning",Cardabel provides a new management of risks and frauds in capital markets activities leveraging unsupervised machine learning research.,"Paris, Ile-de-France, France",European Union (EU),Active,,,,,,,,,,,,,
2006-01-01,year,CXO Corporation,https://www.crunchbase.com/organization/cxo-business-intelligence-corporation,"Analytics, B2B, Banking, Big Data, Business Intelligence, Computer, Consulting, Data Integration, Data Mining, Data Visualization, Database, Developer APIs, Finance, Financial Services, FinTech, Information Services, Information Technology, Internet of Things, Leasing, Machine Learning, Outsourcing, Predictive Analytics, Project Management","CXO is a technology services company specialized in Business Intelligence, Analytics and Data Integration.","Burlington, Ontario, Canada",Great Lakes,Active,,,,,,,,,,,,,
2015-01-01,month,Amass,https://www.crunchbase.com/organization/amass-0421,"Big Data, Database, FinTech, Predictive Analytics",Largest Alternative Data Platform for Institutional Investors,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,,,,,,,,,,,,,
2015-12-22,day,Century Analytics,https://www.crunchbase.com/organization/century-analytics,"Artificial Intelligence, FinTech, Hedge Funds, Machine Learning",We trade currencies using artificial intelligence,"Malmö, Skane Lan, Sweden","European Union (EU), Nordic Countries, Scandinavia",Active,,1,Seed,2017-04-05,,,,Seed,,,,,
2017-02-27,day,rebrain.ai,https://www.crunchbase.com/organization/rebrain-ai,"Artificial Intelligence, Asset Management, Financial Services, FinTech, Machine Learning, Wealth Management",AI-powered Investment Management : Leveraging Artificial Intelligence to produce superior and absolute returns for investors.,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Active,,,,,,,,,,,,,
2017-01-01,year,"Bullet Point Network, L.P.",https://www.crunchbase.com/organization/bullet-point-network-l-p,"Asset Management, Business Intelligence, Financial Services, Predictive Analytics",We connect stories to statistics to help managers be more strategic.,"San Mateo, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Active,,,,,,,,,,,,,
2014-01-01,year,Frontier7,https://www.crunchbase.com/organization/frontier7,"Banking, Predictive Analytics",Real-time data analysis platform that unlocks the true value of data,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,,,,,,,,,,,,,
2018-08-28,day,nTheta,https://www.crunchbase.com/organization/ntheta,"Aerospace, Artificial Intelligence, Big Data, Blockchain, Cloud Computing, Computer Vision, Enterprise Applications, FinTech, Incubators, Internet of Things, Robotics, Semiconductor, Telecommunications, Venture Capital",nTheta is China's 1st cross-border operations-enabled growth builder that lands & grows overseas tech startups' business in the new China.,"Shenzhen, Guangdong, China",Asia-Pacific (APAC),Active,,,,,,,,,,,,,
2017-09-01,day,Solume.io,https://www.crunchbase.com/organization/solume-io,"Cryptocurrency, FinTech, Market Research, Natural Language Processing","Monitoring all crypto online media, real time and historically, in order to deliver risk assessment, asset ranking and event discovery","Tel Aviv, Tel Aviv, Israel",,Active,,,,,,,,,,,,,
2015-01-01,day,Fincast,https://www.crunchbase.com/organization/fincast,"Advice, Artificial Intelligence, CRM, FinTech, Machine Learning, Mobile, Wealth Management","Fincast has built a 2nd generation automated wealth management platform, with 'adaptive technology that learns'","Sydney, New South Wales, Australia","Asia-Pacific (APAC), Australasia",Active,,,,,,,,,,,,,
2016-01-01,year,dxFeed,https://www.crunchbase.com/organization/dxfeed,"Data Visualization, Financial Services, FinTech, Information Technology","dxFeed is a financial data provider, sourcing and storing direct market data feeds from a variety of exchanges in the US, Canada and Europe.","Munich, Bayern, Germany",European Union (EU),Active,,,,,,,,,,,,,
2018-06-26,day,indagia,https://www.crunchbase.com/organization/indagia,"Artificial Intelligence, Finance, FinTech, Software",Indagia is the world's first and only fully integrated audit platform powered by AI!,"Freienbach, Schwyz, Switzerland",,Active,,,,,,,,,,,,,
2017-04-15,day,Billy.Financial,https://www.crunchbase.com/organization/billy-financial,"Artificial Intelligence, Big Data, Financial Services, FinTech, Marketplace, Mobile Payments, Personal Finance",We believe financial stability should be attainable by anyone. Our technology can help anyone automatically reach financial stability.,,,Active,,,,,,,,,,,,1,Made Acquisitions
2017-03-01,day,Beatha Technology,https://www.crunchbase.com/organization/beatha-technology,"Emerging Markets, FinTech, Machine Learning, Micro Lending, Mobile Apps",Utilizing AI to bring Financial Inclusion to Emerging Markets,,,Active,,,,,,,,,,,,,
2016-01-01,year,Savvy,https://www.crunchbase.com/organization/savvy-app,"FinTech, Machine Learning, Personal Finance","Savvy is your credit card’s new best friend. Real-time purchase alerts, smart reminders, powerful search, and more.","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Active,,,,,,,,,,,,,
2012-12-01,month,Jumpgate Technologies,https://www.crunchbase.com/organization/jumpgate-technologies,"Analytics, Artificial Intelligence, Emerging Markets, Finance, FinTech, Machine Learning, Real Time",Jumpgate Technologies represents a new direction in investment management and quant investment technology: working to supplant,"Singapore, Central Region, Singapore","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",Active,,,,,,,,,,,,,
2017-11-15,day,Blockfund,https://www.crunchbase.com/organization/blockfund,"Analytics, Data Integration, Data Mining, Data Visualization, FinTech, Predictive Analytics, Text Analytics","Emerging tech's analytics platform. An unparalleled blend of market research, brand development, and intelligence.",,,Closed,,,,,,,,,,,,,
2018-02-28,day,Stock Card,https://www.crunchbase.com/organization/stock-card,"FinTech, Machine Learning",Stock Card eliminates behavioral mistakes and enables everyone to make informed and hassle-free investment decisions. ,,,Active,,,,,,,,,,,,,
2017-01-01,year,moyoAI,https://www.crunchbase.com/organization/moyo-ai,"Artificial Intelligence, Big Data, Credit Bureau, Finance, FinTech, Machine Learning","moyoAI is a data-driven company, that build trust between people from the base of the pyramid and financial institutions.",,,Active,,,,,,,,,,,,,
2016-08-03,day,Anaxee Digital Runners Private Limited,https://www.crunchbase.com/organization/anaxee-digital-runners-private-limited,"Data Visualization, FinTech, Location Based Services",On-demand | Field Verification | Data Collection,"Indore, Madhya Pradesh, India",Asia-Pacific (APAC),Active,,,,,,,,,,,,,
2015-09-11,day,Remitt,https://www.crunchbase.com/organization/remitt,"Bitcoin, FinTech, Machine Learning, Payments",We're a #fintech startup disrupting how to transfer money using #blockchain without relying on legacy banking systems.,"Sydney, New South Wales, Australia","Asia-Pacific (APAC), Australasia",Active,,,,,,,,,,,,,
2015-01-01,year,Mojin Robotics,https://www.crunchbase.com/organization/mojin-robotics-stuttgart-germany,"Artificial Intelligence, Assistive Technology, Electronics, Machine Learning, Robotics",Mojin Robotics develops an assistant robot for humans called Care-O-bot 4.,"Stuttgart, Baden-Wurttemberg, Germany",European Union (EU),Active,,,,,,,,,,,,,
2013-01-01,year,Comparo.dk,https://www.crunchbase.com/organization/comparo-dk,"Artificial Intelligence, Automotive, FinTech, Insurance, InsurTech",Comparo.dk is an online service that helps its users find the cheapest car and travel insurance packages.,"Copenhagen, Hovedstaden, Denmark","European Union (EU), Nordic Countries, Scandinavia",Active,,1,Seed,2013-06-21,,,,Seed,,,,,
2009-06-04,day,Finesis LLC,https://www.crunchbase.com/organization/finesis-llc,"Artificial Intelligence, Blockchain, Computer Vision, Drones, Financial Exchanges, FinTech, Internet of Things, Machine Learning, Software","Finesis LLC (16192 Coastal Highway, Lewes, DE, United States)  is a start up combining IoT with A.I. and computerized financial investments.","Lewes, Delaware, United States","East Coast, Southern US",Active,,,,,,,,,,,,,
2017-01-01,year,BGX,https://www.crunchbase.com/organization/bgx,"Artificial Intelligence, Blockchain, Cryptocurrency, FinTech",BGX is a multifunctional processing platform.,"Zug, Zug, Switzerland",,Active,,,,,,,,,,,,,
2016-03-01,month,Shoptaki,https://www.crunchbase.com/organization/shoptaki,"Artificial Intelligence, Big Data, Blockchain, Compliance, Cyber Security, FinTech, Government, Identity Management, Payments, Telecommunications",Blockchain Meets AI and Quantum Security,,,Active,,,,,,,,,,,,,
2016-04-04,day,SupraTix GmbH,https://www.crunchbase.com/organization/supratix-gmbh,"Artificial Intelligence, Cloud Computing, E-Learning, EdTech, FinTech, Higher Education, Internet of Things, Professional Services, Simulation","cloud solution startup, spin-off TUDresden | Produkte und Services: mobileLearning IoT AI VR AR SeriousGames bigdata analytics hrtech","Dresden, Sachsen, Germany",European Union (EU),Active,,,,,,,,,,,,,
2016-04-20,day,Scanye,https://www.crunchbase.com/organization/scanye,"Accounting, Artificial Intelligence, FinTech, SaaS","Scanye is a privately held company that read, understand and process documents. ",,,Active,,1,Seed,2017-06-01,,,,Seed,,,,,
,,CoAlpha,https://www.crunchbase.com/organization/coalpha,"Artificial Intelligence, Asset Management, Blockchain, Internet","Blockchain Protocol, Investment Fund Issuing and Investment Platform","Shenzhen, Guangdong, China",Asia-Pacific (APAC),Active,,2,Seed,2018-03-14,,,,Angel,,,,,
2015-08-18,day,Singulariti.ai,https://www.crunchbase.com/organization/singulariti,"Analytics, Artificial Intelligence, Banking, Data Visualization, FinTech, Machine Learning",Singulariti is an analytics company that uses machine learning and artificial intelligence to solve hard industry problems.,"Bengaluru, Karnataka, India",Asia-Pacific (APAC),Active,,,,,,,,,,,,,
2017-03-28,day,"Genial Technology, Inc.",https://www.crunchbase.com/organization/genial-technology-inc,"Accounting, Artificial Intelligence, FinTech",Genial Technology is a startup that develops AI audit software.,"San Jose, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Active,,,,,,,,,,,,,
2014-10-01,day,DeliverFund,https://www.crunchbase.com/organization/deliverfund,"Banking, Business Intelligence, Commercial Real Estate, Compliance, Information Services, Information Technology, Intelligent Systems, Predictive Analytics, Quality Assurance",Helping Authorities Counter Human Trafficking at Scale.,"Dallas, Texas, United States","Dallas/Fort Worth Metroplex, Southern US",Active,,,,,,,,,,,,,
2015-02-15,day,HAPPENING TECHNOLOGIES SA,https://www.crunchbase.com/organization/happening-technologies,"Art, Artificial Intelligence, Big Data, Data Visualization, FinTech, Machine Learning",HAPPENING MEDIA is an online arts journal providing an exhaustive overview of art world news.,"Luxembourg, Luxembourg, Luxembourg",European Union (EU),Active,,,,,,,,,,,,,
2016-05-22,day,Zensed,https://www.crunchbase.com/organization/zensed,"Artificial Intelligence, Cyber Security, Fraud Detection, Machine Learning",Zensed uses Artificial Intelligence and advanced Machine Learning systems to prevent frauds,"Ängelholm, Kronobergs Lan, Sweden","European Union (EU), Nordic Countries, Scandinavia",Active,,,,,,,,,,,,,
2018-01-01,day,"Liquid Mortgage, Inc.",https://www.crunchbase.com/organization/liquid-mortgage-inc,"Artificial Intelligence, Blockchain, Consumer Lending, Financial Services, Information Technology, Lending, Machine Learning, Predictive Analytics",Post-Origination Mortgage Blockchain Solution,"Denver, Colorado, United States","Greater Denver Area, Western US",Active,,1,Seed,2018-01-01,,,,Seed,,,,,
2017-12-18,day,ZON PRODUCTS,https://www.crunchbase.com/organization/zon-products-inc,"Artificial Intelligence, Assistive Technology, Communication Hardware, Consumer Electronics, Hardware, Internet of Things, Network Hardware, Smart Home",Voice Enabled Smart-Home System that turns an ordinary home into an extraordinary home all controllable with your voice.,,,Active,,,,,,,,,,,,,
2015-01-01,year,Risk Concile,https://www.crunchbase.com/organization/risk-concile,"Financial Services, Machine Learning, Risk Management, Software",RiskConcile is a provider of technical solutions for the the financial industry. ,"Leuven, Vlaams-Brabant, Belgium",European Union (EU),Active,,,,,,,,,,,,,
2016-03-20,day,Alcazar,https://www.crunchbase.com/organization/alcazar,"Artificial Intelligence, Financial Services, FinTech, Real Estate",Alcazar is a fintech app that automates analysis and advice for mortgage professionals making them better wealth managers for their clients.,"Irvine, California, United States","Greater Los Angeles Area, West Coast, Western US",Active,,,,,,,,,,,,,
2017-01-01,year,Rapid Data,https://www.crunchbase.com/organization/rapid-data,"Artificial Intelligence, Consulting, Finance, Financial Services, Machine Learning, Wealth Management",Rapid Data creates solutions for wealth management & helps managers to research and communicate client portfolios.,"Zürich, Zurich, Switzerland",,Active,,,,,,,,,,,,,
2016-09-08,day,Velocity (VLCTY),https://www.crunchbase.com/organization/velocity-6,"Artificial Intelligence, Fraud Detection, Machine Learning, Mobile Apps, Motion Capture","At Velocity we are building the operating system for human motion, using AI to analyze smartphone motion sensor data.","Santa Monica, California, United States","Greater Los Angeles Area, West Coast, Western US",Active,,,,,,,,,,,,,
2017-01-01,month,Trade Quorum,https://www.crunchbase.com/organization/trade-quorum,"Artificial Intelligence, Consumer Lending, Financial Services, Information Technology, Lending",Trade Quorum streamlines and secures international trade execution by providing a decentralised platform.,"Paris, Ile-de-France, France",European Union (EU),Active,,,,,,,,,,,,,
1993-05-01,day,Automatski Fundamental Research,https://www.crunchbase.com/organization/automatski-fundamental-research,"Artificial Intelligence, Education, Environmental Engineering, FinTech, Health Care, Peer to Peer, Pharmaceutical, Quantum Computing, Robotics, Space Travel","Fundamental Research, 100+ Millennium Inventions",,,Active,,,,,,,,,,,,,
2018-05-01,day,DigsFact LLC,https://www.crunchbase.com/organization/digsfact-llc,"Analytics, Data Visualization, Financial Services, FinTech, Real Estate",DigsFact provides valuable insights related to property condition and historical information.,"Crystal Lake, Illinois, United States","Greater Chicago Area, Great Lakes, Midwestern US",Active,,,,,,,,,,,,,
2018-01-01,day,Symphoni,https://www.crunchbase.com/organization/symphoni,"Artificial Intelligence, Banking, Finance, FinTech, Incubators, Lending, SaaS, Small and Medium Businesses",AI + Fintech SaaS company for SMBs,,,Active,,,,,,,,,,,,,
2010-01-01,day,Motadata,https://www.crunchbase.com/organization/motadata,"Asset Management, Data Visualization, Enterprise Applications, Enterprise Software, IT Infrastructure, IT Management, Management Information Systems, Network Security, Software, Virtualization","Network Monitoring, Log Monitoring, Network Flow Analytics, ITSM","Ahmedabad, Gujarat, India",Asia-Pacific (APAC),Active,,,,,,,,,,,,,
2017-01-02,day,InsigniQ,https://www.crunchbase.com/organization/insigniq,"Big Data, Credit, Finance, FinTech, Machine Learning",A Financial Modelling company with focus on Risk based models,"Bengaluru, Karnataka, India",Asia-Pacific (APAC),Active,,,,,,,,,,,,,
2017-03-01,month,Tendertec,https://www.crunchbase.com/organization/tendertec,"Artificial Intelligence, Assisted Living, Assistive Technology, Elder Care, Embedded Systems, Home Health Care, Internet of Things, Machine Learning, Nursing and Residential Care, Sensor","Stay safe & worry-free knowing that if emergencies happen at home, family & caregivers will be automatically alerted.","Caerphilly, Caerphilly, United Kingdom",European Union (EU),Active,,,,,,,,,,,,,
2016-01-14,day,Farebond,https://www.crunchbase.com/organization/farebond,"Artificial Intelligence, Big Data, FinTech, Machine Learning, Predictive Analytics, Travel",Builds simple solutions that are useful in travel planning or booking process,,,Active,,,,,,,,,,,,,
2015-01-01,year,Quotip,https://www.crunchbase.com/organization/quotip,"Financial Services, FinTech, Machine Learning",Quotip is a holistic platform for trading investment products.,"Zürich, Zurich, Switzerland",,Active,,,,,,,,,,,,,
2018-07-31,day,Crypto Brokers OÜ,https://www.crunchbase.com/organization/crypto-brokers,"Artificial Intelligence, Blockchain, Cryptocurrency, FinTech, Software","Crypto Brokers is developing a virtual assistant to provide a faster, safer and more convenient way to trade cryptocurrencies.","Tallinn, Harjumaa, Estonia",European Union (EU),Active,,,,,,,,,,,,,
,,KloudTrader,https://www.crunchbase.com/organization/kloudtrader,"Artificial Intelligence, FinTech, Software, Trading Platform",Trading platform for Millenials and Generation Z,,,Active,,,,,,,,,,,,,
2018-01-01,year,Crowdmap,https://www.crunchbase.com/organization/crowdmap,"Artificial Intelligence, B2B, Customer Service, FinTech, Retail Technology, SaaS, Text Analytics",Crowdmap supports brands on creating 5 stars innovation based on omnichannel voice of customers feedback.,"Bordeaux, Aquitaine, France",European Union (EU),Active,,,,,,,,,,,,,
,,RISC.ai,https://www.crunchbase.com/organization/risc-ai,"Artificial Intelligence, InsurTech","RISC.ai uses a proprietary, advanced artificial intelligence approach to solve the commercial P&C growth dilemma.","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Active,,1,,2017-02-01,,,,Venture - Series Unknown,,,,,
2017-03-17,day,Applied InvestmentScience,https://www.crunchbase.com/organization/broms-asset-management-llc,"Analytics, Artificial Intelligence, Asset Management, Finance, Financial Services, FinTech, Machine Learning, Risk Management","Applied InvestmentScience™ builds, manages, & markets high-capacity investment strategies which seek to deliver risk managed returns.","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,,,,,,,,,,,,,
,,TSI Analytics,https://www.crunchbase.com/organization/tsi-analytics,"Analytics, Artificial Intelligence, Blockchain, Cryptocurrency, Finance, FinTech, Personal Finance","With the help of applying cutting edge tools to financial markets and trading, TSI Analytics sees itself as the future of trading platforms.",,,Active,,,,,,,,,,,,,
2007-01-01,year,CIX - Canadian Innovation Exchange,https://www.crunchbase.com/organization/cix-canadian-innovation-exchange,"Artificial Intelligence, Business Development, FinTech, Information Services, Information Technology, Knowledge Management, Venture Capital","Accelerating the development of the ground-breaking technologies, products and services propelling the Canadian economy into the future.","Toronto, Ontario, Canada",Great Lakes,Active,,,,,,,,,,,,,
2014-01-01,month,Lovoco,https://www.crunchbase.com/organization/lovoco,"Artificial Intelligence, Assistive Technology, Augmented Reality, EdTech, Education, Event Management, Events, Information Technology, Meeting Software, Natural Language Processing, Speech Recognition, Translation Service","Lovoco innovates accessibility, communication, and educational solutions with our proprietary speech and translation AI.","Philadelphia, Pennsylvania, United States","Greater Philadelphia Area, Great Lakes, Northeastern US",Active,,,,,,,,,,,,,
2015-04-22,day,AtHashtags,https://www.crunchbase.com/organization/athashtags,"Artificial Intelligence, E-Commerce, Fashion, FinTech, Machine Learning, Marketplace, Retail Technology",Only marketplace to personalise online and in-store product recommendations from the smallest to largest brands locally and globally,"London, England, United Kingdom",European Union (EU),Active,,,,,,,,,,,,,
2014-01-01,year,Allgoo,https://www.crunchbase.com/organization/allgoo,"Advice, Analytics, Artificial Intelligence, FinTech, Robotics",Allgoo is to be the most reliable tool to aid Manager Professional investment portfolios in securities.,"São José Dos Campos, Sao Paulo, Brazil",,Active,,,,,,,,,,,,,
2016-05-31,day,Agilize Europe Srl,https://www.crunchbase.com/organization/agilize-europe-srl,"Accounting, Enterprise Applications, Enterprise Software, Internet, Machine Learning",Agilize is a company that offers a comprehensive accounting service based on software and automated business processes.,"Milan, Lombardia, Italy",European Union (EU),Active,,,,,,,,,,,,,
2014-09-01,day,Pairaphrase,https://www.crunchbase.com/organization/pairaphrase,"Enterprise Software, FinTech, Information Technology, Machine Learning, SaaS, Translation Service",Pairaphrase is a web-based translation management system for enterprises.,"Birmingham, Michigan, United States","Greater Detroit Area, Great Lakes, Midwestern US",Active,,,,,,,,,,,,,
2018-03-01,month,DataPi io,https://www.crunchbase.com/organization/datapi-io,"Artificial Intelligence, FinTech, Machine Learning, SaaS",The Alpha Generation platform for the Machine Learning age in Capital Markets.,"San Jose, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Active,,,,,,,,,,,,,
1993-01-01,year,Euristix,https://www.crunchbase.com/organization/euristix,"Credit, Financial Services, Predictive Analytics, Risk Management",Euristix is a specialist analytics and risk management firm.,,,Active,,,,,,,,,,,,,
2010-05-04,day,Neutrino Labs,https://www.crunchbase.com/organization/neutrino-labs,"3D Technology, Augmented Reality, Autonomous Vehicles, Classifieds, Computer Vision, Digital Entertainment, FinTech, Media and Entertainment, Mobile, Mobile Apps, Organic Food, Retail Technology, Shopping, Space Travel, Sports, Ticketing, Virtual Reality, Wine And Spirits",Mobile apps and devices,"Larkspur, California, United States","San Francisco Bay Area, West Coast, Western US",Active,,,,,,,,,,,,,
2016-04-06,day,LiveMetrics.io,https://www.crunchbase.com/organization/livemetrics-io,"Artificial Intelligence, Financial Services, FinTech",Amplifying financial forecasting with machine learning,"London, England, United Kingdom",European Union (EU),Active,,,,,,,,,,,,,
2018-03-01,month,Identity Labs,https://www.crunchbase.com/organization/identity-labs,"Artificial Intelligence, Blockchain, Identity Management, Machine Learning",Blockchain Identity Management meets AI,,,Active,,,,,,,,,,,,,
2017-09-25,day,Awen Collective Ltd,https://www.crunchbase.com/organization/awen-collective-ltd,"Cyber Security, Data Visualization, Industrial, Risk Management","Software company making digital forensics (cyber-crime investigation) solutions for infrastructure (water, electric, oil & gas) & factories.","Cardiff, Cardiff, United Kingdom",European Union (EU),Active,,1,Seed,2018-01-11,,,,Seed,,,,,
2011-08-24,day,GiFang,https://www.crunchbase.com/organization/gifang,"Artificial Intelligence, Big Data, Blockchain, Commercial Real Estate, FinTech, Property Management, Real Estate, Real Estate Investment",where investors find tokens backed by international real estate assets,"Sydney, New South Wales, Australia","Asia-Pacific (APAC), Australasia",Active,,,,,,,,,,,,,
2018-01-01,year,vencortex,https://www.crunchbase.com/organization/vencortex,"Artificial Intelligence, FinTech, Intelligent Systems, Machine Learning, PaaS, SaaS",Hybrid Intelligence Platform for Smart Decisions,"Kassel, Hessen, Germany",European Union (EU),Active,,,,,,,,,,,,,
2017-03-01,day,Spenderlog,https://www.crunchbase.com/organization/spenderlog,"Artificial Intelligence, FinTech, Machine Learning, Personal Health",Spenderlog is a fintech that uses AI to help you keep track of your spending,"Hillerød, Hovedstaden, Denmark","European Union (EU), Nordic Countries, Scandinavia",Active,,,,,,,,,,,,,
2017-12-01,month,IntelligenceX,https://www.crunchbase.com/organization/intelligencex,"Artificial Intelligence, Blockchain, Cryptocurrency, FinTech, Internet of Things, Robotics","A management consulting incubation firm focused on driving innovation in key technology areas of AI, Blockchain, IoT & Robotics",,,Active,,,,,,,,,,,,,
2008-01-01,year,3spin,https://www.crunchbase.com/organization/3spin,"Artificial Intelligence, Assistive Technology, Augmented Reality, Creative Agency, Innovation Management, Mobile Apps, Virtual Reality",Tech & design company. Germany's fastest growing digital agency (BVDW 2016) and one of the top 20 creative agencies (PAGE 2017).,"Darmstadt, Hessen, Germany",European Union (EU),Active,,1,,2016-01-01,,EUR,,Secondary Market,,EUR,,,
2016-09-01,month,Mutual.Life,https://www.crunchbase.com/organization/mutual-life,"Artificial Intelligence, Blockchain, Insurance, InsurTech, Machine Learning, SaaS, Sharing Economy",We are the insurtech alternative that allows the user to split indemnities with people of a similar risk profile.,"Vila Velha, Espirito Santo, Brazil",,Active,,,,,,,,,,,,,
2014-09-17,day,bizbaze,https://www.crunchbase.com/organization/bizbaze-ltd,"Artificial Intelligence, Banking, E-Commerce",Bizbaze is a collaborative social-commerce platform for digital banking.,"Dublin, Dublin, Ireland",European Union (EU),Active,,,,,,,,,,,,,
2015-01-01,year,sensefolio,https://www.crunchbase.com/organization/sensefolio,"Artificial Intelligence, Financial Services, FinTech, Impact Investing, Social",Artificial Intelligence startup specialized in socially responsible investment #AI #ESG #SRI #AM #FinTech,"Chicago, Illinois, United States","Greater Chicago Area, Great Lakes, Midwestern US",Active,,,,,,,,,,,,,
,,iPampas,https://www.crunchbase.com/organization/ipampas,"Artificial Intelligence, Financial Services, FinTech, Internet","A Fintech Company based in Hangzhou,China.","Hangzhou, Zhejiang, China",Asia-Pacific (APAC),Active,,1,Seed,2018-06-05,,,,Seed,,,,,
2016-03-03,day,kordinator,https://www.crunchbase.com/organization/kordinator,"Artificial Intelligence, Customer Service, Employee Benefits, FinTech, Insurance",kordinator provides solutions that transform how organizations interpret and act on customer conversations.,,,Active,,,,,,,,,,,,,
2010-01-01,year,Smart Engines,https://www.crunchbase.com/organization/smart-engines,"Artificial Intelligence, Computer Vision, Identity Management, Image Recognition, Machine Learning",Optical Character Recognition (OCR) Software Company,"Moscow, Moscow City, Russian Federation",,Active,,,,,,,,,,,,,
2018-02-21,day,Pie People Ltd,https://www.crunchbase.com/organization/pie-people-ltd,"Artificial Intelligence, Banking, Blockchain, Finance, Financial Services, FinTech, Machine Learning, Mobile Apps, Mobile Payments, Payments, Personal Finance, SaaS, Software, Software Engineering",Fintech SaaS,"London, England, United Kingdom",European Union (EU),Active,,,,,,,,,,,,,
2015-06-01,day,"Speevr, Inc.",https://www.crunchbase.com/organization/speevr-inc,"Artificial Intelligence, FinTech",Financial media and content marketplace.,,,Active,,,,,,,,,,,,,
2017-03-01,day,Mensajea,https://www.crunchbase.com/organization/mensajea,"Artificial Intelligence, E-Commerce, FinTech",Mensajea is an AI-powered chatbot builder that integrates financial institutions and e-commerce platforms.,"Quito, Pichincha, Ecuador",,Active,,1,Seed,2017-07-01,,,,Seed,,,,,
2012-04-26,day,L-One Systems,https://www.crunchbase.com/organization/l-one-systems-gmbh,"Artificial Intelligence, Assistive Technology, Cloud Computing, Cloud Data Services, Cloud Infrastructure, Home and Garden, Machine Learning, Mobile Apps, Natural Language Processing, SaaS","We develop intelligent NLP systems, web and mobile apps","Darmstadt, Hessen, Germany",European Union (EU),Active,,,,,,,,,,,,,
2017-05-30,day,Prechelon,https://www.crunchbase.com/organization/prechelon,"Artificial Intelligence, Big Data, Data Integration, Digital Media, FinTech, Geospatial, Machine Learning, Natural Language Processing, News, Risk Management",Event Intelligence & Analytics,"Vero Beach, Florida, United States","East Coast, Southern US",Active,,,,,,,,,,,,,
2018-09-01,day,Bitcurate,https://www.crunchbase.com/organization/bitcurate,"Analytics, Artificial Intelligence, Big Data, Blockchain, Cryptocurrency, Data Visualization, FinTech, Machine Learning, SaaS","Data Intelligence for Crypto. Data analytics, data science, machine learning, AI, blockchain, cryptocurrency, Saas, fintech",,,Active,,,,,,,,,,,,,
2018-11-01,day,Complygate,https://www.crunchbase.com/organization/complygate,"Artificial Intelligence, Compliance, Human Resources, Information Technology, Software",HR and COmpliance Management Software,"Birmingham, Birmingham, United Kingdom",European Union (EU),Active,,,,,,,,,,,,,
